date,cash,equity,total,holdings
2026-07-27,7506.599914550781,2493.4000854492188,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-28,5035.040008544922,4972.729888916016,10007.769897460938,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 28.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-29,2750.6399841308594,7191.610015869141,9942.25,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 28.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 20.0, 'DIS': 0.0}"
2026-07-30,2750.6399841308594,7155.669952392578,9906.309936523438,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 28.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 20.0, 'DIS': 0.0}"
2026-07-31,2750.6399841308594,7139.049896240234,9889.689880371094,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 28.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 20.0, 'DIS': 0.0}"
