date,cash,equity,total,holdings
2026-07-23,7550.700042724609,2449.2999572753906,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-24,5068.620086669922,4954.549896240234,10023.169982910156,"{'NVDA': 12.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-27,5068.620086669922,4851.52001953125,9920.140106201172,"{'NVDA': 12.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-28,2693.520118713379,7240.3898849487305,9933.91000366211,"{'NVDA': 12.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 21.0, 'DIS': 0.0}"
2026-07-29,3833.5800857543945,5951.649932861328,9785.230018615723,"{'NVDA': 6.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 21.0, 'DIS': 0.0}"
