date,cash,equity,total,holdings
2026-07-29,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-30,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-31,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-08-03,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-08-04,10000.0,0.0,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
