date,cash,equity,total,holdings
2026-07-20,7586.259948730469,2413.7400512695312,10000.0,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-21,5995.259948730469,3977.5,9972.759948730469,"{'NVDA': 0.0, 'MSFT': 10.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-22,3557.790008544922,6340.869903564453,9898.659912109375,"{'NVDA': 0.0, 'MSFT': 10.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-23,3557.790008544922,6265.099822998047,9822.889831542969,"{'NVDA': 0.0, 'MSFT': 10.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-24,3557.790008544922,6289.470062255859,9847.260070800781,"{'NVDA': 0.0, 'MSFT': 10.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
