date,action,ticker,shares,price,cash_delta,cash_after
2026-07-20,buy,MSFT,6.0,402.2900085449219,-2413.7400512695312,7586.259948730469
2026-07-21,buy,MSFT,4.0,397.75,-1591.0,5995.259948730469
2026-07-22,buy,JPM,7.0,348.2099914550781,-2437.469940185547,3557.790008544922
