run_date,model,prompt_version,days,start_date,end_date,start_total,end_total,pnl_abs,pnl_pct,trades,audit_ok,error
2026-07-15,gemini-flash-latest,v6,5,2026-07-09,2026-07-15,10000.0,10096.800354003906,96.80035400390625,0.9680035400390625,1,True,
2026-07-15,gemini-flash-latest,v6,5,2026-07-09,2026-07-15,10000.0,10000.0,0.0,0.0,0,True,
2026-07-16,gemini-flash-latest,v6,5,2026-07-10,2026-07-16,10000.0,9960.839859008789,-39.16014099121094,-0.3916014099121094,1,True,
2026-07-17,gemini-flash-latest,v6,5,2026-07-13,2026-07-17,10000.0,9991.359985351562,-8.6400146484375,-0.086400146484375,1,True,
2026-07-20,gemini-flash-latest,v6,5,2026-07-14,2026-07-20,10000.0,10000.0,0.0,0.0,0,True,
2026-07-21,gemini-flash-latest,v6,5,2026-07-15,2026-07-21,10000.0,9984.660034179688,-15.3399658203125,-0.15339965820312498,3,True,
2026-07-22,gemini-flash-latest,v6,5,2026-07-16,2026-07-22,10000.0,9949.359802246094,-50.64019775390625,-0.5064019775390626,3,True,
2026-07-23,gemini-flash-latest,v6,5,2026-07-16,2026-07-22,10000.0,9985.209838867188,-14.7901611328125,-0.147901611328125,2,True,
2026-07-23,gemini-flash-latest,v6,5,2026-07-17,2026-07-23,10000.0,10009.439758300781,9.43975830078125,0.09439758300781251,2,True,
2026-07-24,gemini-flash-latest,v6,5,2026-07-20,2026-07-24,10000.0,9847.260070800781,-152.73992919921875,-1.5273992919921875,3,True,
2026-07-27,gemini-flash-latest,v6,5,2026-07-20,2026-07-27,10000.0,9826.599960327148,-173.40003967285156,-1.7340003967285158,3,True,
2026-07-28,gemini-flash-latest,v6,5,2026-07-22,2026-07-28,10000.0,10103.299942016602,103.29994201660156,1.0329994201660155,4,True,
2026-07-29,gemini-flash-latest,v6,5,2026-07-23,2026-07-29,10000.0,9785.230018615723,-214.76998138427734,-2.1476998138427734,4,True,
2026-07-30,gemini-flash-latest,v6,5,2026-07-24,2026-07-30,10000.0,10112.710060119629,112.7100601196289,1.1271006011962892,5,True,
2026-07-31,gemini-flash-latest,v6,5,2026-07-27,2026-07-31,10000.0,9889.689880371094,-110.31011962890625,-1.1031011962890624,3,True,
2026-08-03,gemini-flash-latest,v6,5,2026-07-28,2026-08-03,10000.0,10554.640014648438,554.6400146484375,5.546400146484375,2,True,
