date,cash,equity,total,holdings
2026-07-20,7586.259948730469,2413.7400512695312,10000.0,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 0.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-21,5169.649871826172,4803.110076904297,9972.759948730469,"{'NVDA': 0.0, 'MSFT': 6.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-22,2836.9898986816406,7112.169891357422,9949.159790039062,"{'NVDA': 11.0, 'MSFT': 6.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-23,2836.9898986816406,7035.13981628418,9872.12971496582,"{'NVDA': 11.0, 'MSFT': 6.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-27,2836.9898986816406,6989.610061645508,9826.599960327148,"{'NVDA': 11.0, 'MSFT': 6.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
