date,action,ticker,shares,price,cash_delta,cash_after
2026-07-20,buy,MSFT,6.0,402.2900085449219,-2413.7400512695312,7586.259948730469
2026-07-21,buy,JPM,7.0,345.2300109863281,-2416.610076904297,5169.649871826172
2026-07-22,buy,NVDA,11.0,212.05999755859375,-2332.6599731445312,2836.9898986816406
