date,cash,equity,total,holdings
2026-07-24,7527.530059814453,2472.469940185547,10000.0,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 0.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-27,5089.500068664551,4931.430076599121,10020.930145263672,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 29.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-28,6325.2800216674805,3825.2199325561523,10150.499954223633,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 15.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-29,6948.840034484863,3125.6099548339844,10074.449989318848,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 8.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
2026-07-30,7302.800025939941,2809.9100341796875,10112.710060119629,"{'NVDA': 0.0, 'MSFT': 0.0, 'JPM': 7.0, 'KO': 4.0, 'JNJ': 0.0, 'XOM': 0.0, 'WMT': 0.0, 'DIS': 0.0}"
