date,action,ticker,shares,price,cash_delta,cash_after
2026-07-24,buy,JPM,7.0,353.2099914550781,-2472.469940185547,7527.530059814453
2026-07-27,buy,KO,29.0,84.06999969482422,-2438.0299911499023,5089.500068664551
2026-07-28,sell,KO,14.0,88.2699966430664,1235.7799530029297,6325.2800216674805
2026-07-29,sell,KO,7.0,89.08000183105469,623.5600128173828,6948.840034484863
2026-07-30,sell,KO,4.0,88.48999786376953,353.9599914550781,7302.800025939941
