date,cash,NVDA,MSFT,JPM,KO,JNJ,XOM,WMT,DIS
2026-07-24,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-24,7527.530059814453,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
2026-07-27,5089.500068664551,0.0,0.0,7.0,29.0,0.0,0.0,0.0,0.0
2026-07-28,6325.2800216674805,0.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0
2026-07-29,6948.840034484863,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0
2026-07-30,7302.800025939941,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0
