date,action,ticker,shares,price,cash_delta,cash_after
2026-07-22,buy,JPM,7.0,348.2099914550781,-2437.469940185547,7562.530059814453
2026-07-23,buy,NVDA,12.0,208.75999450683594,-2505.1199340820312,5057.410125732422
2026-07-24,buy,KO,30.0,82.25,-2467.5,2589.910125732422
2026-07-28,sell,NVDA,6.0,197.00999450683594,1182.0599670410156,3771.9700927734375
