date,action,ticker,shares,price,cash_delta,cash_after
2026-07-28,buy,JPM,6.0,357.30999755859375,-2143.8599853515625,7856.1400146484375
2026-07-29,buy,MSFT,6.0,390.5400085449219,-2343.2400512695312,5512.899963378905
